date,location1,location2,location3,location4,location5,location6,location7,location8,location9,location10,location11,location12,location13,location14,location15,location16,location17,location18,location19,location20,location21,location22,location23,location24
6/12/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/2000,0.02,0,1.34,0,0,0,0.02,0.09,0.13,0.23,0,0,0,0,0,0,0,0,0,0.8,0.05,0,0,0.29
6/14/2000,0.01,0.01,0.33,0.02,0,0,0.03,0.03,0.19,0.31,0,0.07,0,0.01,0.02,0.13,0,0,0.01,0.22,0.07,0,0,0.07
6/15/2000,0,0,0.02,0,0,0.03,0,0,0.01,0.02,0,0,0,0.01,0,0.01,0.12,0.03,0,0.01,0,0.02,0.07,0
6/16/2000,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.04,0,0,0,0,0
6/17/2000,0.37,0.25,0.04,1.16,0.31,0.13,0.19,0.23,0.21,0.22,0.6,0.58,0.49,0.21,0.39,0.67,0.04,0.26,0.98,0.07,0.19,0.14,0.09,0.12
6/18/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/19/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/20/2000,0,0,0.02,0.56,0,0,0.01,0,0.05,0.04,0.92,0.25,0,0.07,0.28,0.17,0.01,0.33,0.84,0.01,0.06,0.01,0.08,0.01
6/21/2000,0.03,0.09,1.4,0.3,0.03,0.09,0.19,0.15,0.81,1.1,0.62,0.38,0.01,0.44,0.39,0.55,0.26,0.9,0.26,1.16,0.33,0.26,0.6,0.51
6/22/2000,0.54,1.07,1.71,1.46,0.2,0.24,2.9,1.54,4.21,2.46,3.64,3.94,0.14,3.53,5.17,2.33,0.44,3.25,2.47,2.67,5.43,1.43,1.58,3.44
6/23/2000,5.28,6.57,12.04,9.84,2.85,1.5,11.19,8.81,16.8,14.84,10.23,16.83,2.2,8.59,15.65,14.11,0.63,4.63,11.9,12.21,16.62,4.06,1.83,11.76
6/24/2000,3.19,9.14,0.33,0.59,8.53,15.04,7.6,2.48,1.39,0.4,6.51,2.54,3.29,13.42,6.79,0.71,16.49,13.65,2.28,0.62,3.84,16.53,17.44,1.39
6/25/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/2000,0,0,0.08,1.46,0,0,0,0,0.02,0.05,0,0.25,0,0,0,0.42,0,0,0.61,0.04,0,0,0,0
6/27/2000,0.05,0.14,0.18,4.68,0.04,0.09,0.35,0.1,0.94,1.06,3.32,2.67,0.01,0.91,1.93,2.96,0.27,1.62,4.61,0.17,0.69,0.34,0.68,0.15
6/28/2000,0,0,0,0.23,0,0,0,0,0,0,0.02,0.02,0,0,0,0.03,0,0,0.13,0,0,0,0,0
6/29/2000,0,0,0,0.2,0,0,0,0,0.01,0.02,0.11,0.05,0,0.01,0.02,0.08,0.04,0.05,0.17,0,0,0,0.05,0
6/30/2000,0.02,0.08,0.12,0.59,0.03,0.14,0.14,0.04,0.14,0.14,1.6,0.38,0.01,0.5,0.59,0.26,0.5,1.46,0.99,0.08,0.18,0.3,0.93,0.05
7/1/2000,0.06,0.19,3.44,3.81,0.12,0.2,0.32,0.14,2.64,4.57,1.06,2.83,0.04,0.56,1.02,4.73,0.19,0.61,2.33,1.89,0.69,0.35,0.35,0.36
7/2/2000,1.51,0.98,4.46,0.97,0.91,0.34,1.34,1.36,2.76,3.28,0.83,1.92,1.9,0.97,1.69,2,0.1,0.45,0.99,3.31,2.17,0.53,0.21,1.97
7/3/2000,0.33,0.01,0.52,0.03,0.08,0.03,0.01,0.16,0.12,0.2,0.03,0.04,0.52,0.01,0.03,0.06,0.01,0.01,0.03,0.35,0.02,0.01,0,0.09
7/4/2000,3.62,2.36,0.78,0.03,1.83,0.87,2.31,3.75,0.96,0.47,0.17,0.35,2.78,1.02,0.66,0.18,0.3,0.31,0.07,1.69,1.69,1.11,0.36,3
7/5/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/2000,0,0,0.02,0.1,0,0,0,0,0.01,0.02,0.02,0.02,0,0,0,0.04,0,0,0.06,0.01,0,0,0,0
